timeframe,param_id,exit_model,friction_case,entry_mode,range_mult,ret_mult,vol_z_min,close_loc_long_min,close_loc_short_max,body_min,require_direction,stop_atr_mult,target_r,max_hold_bars,taker_fee_bps_per_side,slippage_bps_per_side,month,total_trades,trades_per_year,win_rate,ev_per_trade_r,total_ev_r,max_drawdown_r,max_losing_streak,profit_factor,average_win_r,average_loss_r
15m,range3_ret3_vz1.5_cl0.8_cs0.2_body0.65,model_a,base,next_open,3.0,3.0,1.5,0.8,0.2,0.65,True,1.0,1.5,8,4.0,5.0,2026-01,146,1809.594909862142,0.3698630136986301,-0.5537802036279127,-80.85190972967526,,,0.41506137213736255,1.062425627484291,-1.502422756672032
15m,range3_ret3_vz1.5_cl0.8_cs0.2_body0.65,model_a,base,next_open,3.0,3.0,1.5,0.8,0.2,0.65,True,1.0,1.5,8,4.0,5.0,2026-02,112,1500.637371035537,0.33035714285714285,-0.5138828679329847,-57.55488120849428,,,0.42840077542270394,1.1658402770688394,-1.3425462861338846
15m,range3_ret3_vz1.5_cl0.8_cs0.2_body0.65,model_a,base,next_open,3.0,3.0,1.5,0.8,0.2,0.65,True,1.0,1.5,8,4.0,5.0,2026-03,108,1367.1162454873645,0.37037037037037035,-0.4447088256692951,-48.02855317228387,,,0.4934109181722866,1.169479039783298,-1.3942310994649378
15m,range3_ret3_vz1.5_cl0.8_cs0.2_body0.65,model_a,base,next_open,3.0,3.0,1.5,0.8,0.2,0.65,True,1.0,1.5,8,4.0,5.0,2026-04,111,1398.0258620689656,0.36936936936936937,-0.5993885513500751,-66.53212919985833,,,0.3895052363018986,1.035330296200279,-1.556866733486711
15m,range3_ret3_vz1.5_cl0.8_cs0.2_body0.65,model_a,base,next_open,3.0,3.0,1.5,0.8,0.2,0.65,True,1.0,1.5,8,4.0,5.0,2026-05,8,1214.3376623376623,0.125,-1.3268924752499622,-10.615139801999698,,,0.034193656328218205,0.3758211412089454,-1.5701372776012348
15m,range3_ret3_vz2.5_cl0.7_cs0.3_body0.5,model_a,base,next_open,3.0,3.0,2.5,0.7,0.3,0.5,True,1.0,1.5,8,4.0,5.0,2025-05,102,1427.1859537110934,0.27450980392156865,-0.6622893319246193,-67.55351185631116,,,0.332238090984665,1.2003770417612454,-1.3670820138598112
15m,range3_ret3_vz2.5_cl0.7_cs0.3_body0.5,model_a,base,next_open,3.0,3.0,2.5,0.7,0.3,0.5,True,1.0,1.5,8,4.0,5.0,2025-06,134,1716.6883449031786,0.34328358208955223,-0.6315389422234303,-84.62621825793967,,,0.35599249540574385,1.0169439492916523,-1.493245908242678
15m,range3_ret3_vz2.5_cl0.7_cs0.3_body0.5,model_a,base,next_open,3.0,3.0,2.5,0.7,0.3,0.5,True,1.0,1.5,8,4.0,5.0,2025-07,111,1354.7177166724678,0.3153153153153153,-0.6276346939732472,-69.66745103103044,,,0.367016104974264,1.1541289584064591,-1.44818374441127
15m,range3_ret3_vz2.5_cl0.7_cs0.3_body0.5,model_a,base,next_open,3.0,3.0,2.5,0.7,0.3,0.5,True,1.0,1.5,8,4.0,5.0,2025-08,115,1426.3742483197736,0.30434782608695654,-0.6287095202868095,-72.30159483298308,,,0.35839491832497766,1.153915164818628,-1.4086078200204382
15m,range3_ret3_vz2.5_cl0.7_cs0.3_body0.5,model_a,base,next_open,3.0,3.0,2.5,0.7,0.3,0.5,True,1.0,1.5,8,4.0,5.0,2025-09,117,1485.8703368344802,0.3504273504273504,-0.5614833269815277,-65.69354925683874,,,0.40928081779498904,1.1101436686755748,-1.4632821009544381
15m,range3_ret3_vz2.5_cl0.7_cs0.3_body0.5,model_a,base,next_open,3.0,3.0,2.5,0.7,0.3,0.5,True,1.0,1.5,8,4.0,5.0,2025-10,137,1659.3326424870465,0.40145985401459855,-0.33966386659356446,-46.53394972331833,,,0.584559449572028,1.190493496324805,-1.3659889270875927
15m,range3_ret3_vz2.5_cl0.7_cs0.3_body0.5,model_a,base,next_open,3.0,3.0,2.5,0.7,0.3,0.5,True,1.0,1.5,8,4.0,5.0,2025-11,115,1415.8567415730336,0.3652173913043478,-0.4019017834836216,-46.21870510061648,,,0.5215452031630332,1.1995532334601815,-1.3232868617252616
15m,range3_ret3_vz2.5_cl0.7_cs0.3_body0.5,model_a,base,next_open,3.0,3.0,2.5,0.7,0.3,0.5,True,1.0,1.5,8,4.0,5.0,2025-12,198,2363.8651685393256,0.3686868686868687,-0.510703459058208,-101.11928489352519,,,0.44819450108758485,1.1251013074108125,-1.466013442676116
15m,range3_ret3_vz2.5_cl0.7_cs0.3_body0.5,model_a,base,next_open,3.0,3.0,2.5,0.7,0.3,0.5,True,1.0,1.5,8,4.0,5.0,2026-01,201,2440.3961218836566,0.31840796019900497,-0.6728450697649083,-135.24185902274658,,,0.33951386373029135,1.0862379326907372,-1.4946064723719252
15m,range3_ret3_vz2.5_cl0.7_cs0.3_body0.5,model_a,base,next_open,3.0,3.0,2.5,0.7,0.3,0.5,True,1.0,1.5,8,4.0,5.0,2026-02,164,2267.545741324921,0.34146341463414637,-0.4690008232117703,-76.91613500673033,,,0.46021931767962354,1.1710540281439337,-1.319399635025839
15m,range3_ret3_vz2.5_cl0.7_cs0.3_body0.5,model_a,base,next_open,3.0,3.0,2.5,0.7,0.3,0.5,True,1.0,1.5,8,4.0,5.0,2026-03,179,2142.866507340389,0.33519553072625696,-0.5644397428223038,-101.03471396519238,,,0.4045425003536519,1.1440177184285472,-1.4258468661420607
15m,range3_ret3_vz2.5_cl0.7_cs0.3_body0.5,model_a,base,next_open,3.0,3.0,2.5,0.7,0.3,0.5,True,1.0,1.5,8,4.0,5.0,2026-04,163,2028.9073482428114,0.34355828220858897,-0.6447343582698646,-105.09170039798794,,,0.35718374881053816,1.0427620936878768,-1.5279100714440097
15m,range3_ret3_vz2.5_cl0.7_cs0.3_body0.5,model_a,base,next_open,3.0,3.0,2.5,0.7,0.3,0.5,True,1.0,1.5,8,4.0,5.0,2026-05,16,2101.2134831460676,0.0,-1.7159611719541803,-27.455378751266885,,,0.0,0.0,-1.7159611719541803
15m,range3_ret3_vz2.5_cl0.7_cs0.3_body0.65,model_a,base,next_open,3.0,3.0,2.5,0.7,0.3,0.65,True,1.0,1.5,8,4.0,5.0,2025-05,90,1305.1116625310174,0.3,-0.6065110710360341,-54.58599639324307,,,0.37386279269373596,1.2071471458719687,-1.3837931639966066
15m,range3_ret3_vz2.5_cl0.7_cs0.3_body0.65,model_a,base,next_open,3.0,3.0,2.5,0.7,0.3,0.65,True,1.0,1.5,8,4.0,5.0,2025-06,119,1524.5217391304348,0.33613445378151263,-0.6695307384253649,-79.67415787261842,,,0.33587875610932777,1.0073784450689345,-1.5185986794351367
15m,range3_ret3_vz2.5_cl0.7_cs0.3_body0.65,model_a,base,next_open,3.0,3.0,2.5,0.7,0.3,0.65,True,1.0,1.5,8,4.0,5.0,2025-07,98,1196.057083188305,0.3163265306122449,-0.6248166163490425,-61.23202840220617,,,0.3666535370526387,1.143487659141423,-1.4429872512774669
15m,range3_ret3_vz2.5_cl0.7_cs0.3_body0.65,model_a,base,next_open,3.0,3.0,2.5,0.7,0.3,0.65,True,1.0,1.5,8,4.0,5.0,2025-08,106,1345.685734974656,0.27358490566037735,-0.7097765284593732,-75.23631201669356,,,0.3095440289276998,1.1630970176947906,-1.4151444874005519
