entry_mode,exit_model,friction_case,horizon_bars,taker_fee_bps_per_side,slippage_bps_per_side,total_trades,trades_per_year,average_return_pct,median_return_pct,win_rate,cumulative_return_units,max_drawdown_units,sharpe_like,return_volatility_pct,max_losing_streak,average_win_pct,average_loss_pct,best_month,worst_month,best_month_contribution,best_symbol,worst_symbol,best_symbol_contribution,positive_month_rate,positive_symbol_rate,window,window_start,window_end
next_close,pure_horizon_6,base,6,4.0,5.0,108,107.77868852459017,1.5976515737504222,1.3125220335426426,0.7037037037037037,1.725463699650456,-0.4554572589400626,3.847032183297984,4.3158677650923565,8,3.5428118339158807,-3.0221040441425417,2024-04,2024-12,0.42827677447006957,AVAXUSDT,ETHUSDT,0.2387710286970316,0.875,1.0,2024,2024-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00
next_open,pure_horizon_6,base,6,4.0,5.0,108,107.77868852459017,2.331803696741565,2.733507687174177,0.7407407407407407,2.5183479924808903,-0.7554002706627196,4.67563352068065,5.182787476609644,9,4.587614581223912,-4.113370258922287,2024-08,2024-12,0.29885877533463917,AVAXUSDT,ETHUSDT,0.24786432758548815,0.875,0.8888888888888888,2024,2024-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00
next_close,pure_horizon_6,stress,6,8.0,10.0,108,107.77868852459017,1.4160246848076972,1.1311801317890269,0.6759259259259259,1.5293066595923128,-0.4640035308183194,3.413098853819002,4.31155405202694,8,3.5028067151300295,-2.936406407007451,2024-04,2024-12,0.43563885796232615,AVAXUSDT,ETHUSDT,0.24676100667742404,0.875,1.0,2024,2024-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00
next_open,pure_horizon_6,stress,6,8.0,10.0,108,107.77868852459017,2.149443022201757,2.55074550919489,0.7314814814814815,2.3213984639778977,-0.7906512545256164,4.314283788060971,5.177607276642917,9,4.460965416708739,-4.147462811110366,2024-08,2024-12,0.3060531163558646,AVAXUSDT,ETHUSDT,0.25388964336946757,0.875,0.8888888888888888,2024,2024-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00
next_close,scaled_exit_6_12,base,12,4.0,5.0,108,107.77868852459017,2.473651573230109,2.216603774251279,0.7777777777777778,2.671543699088518,-0.3952893119340183,6.220590532500848,4.132556402166614,7,4.020305661614284,-2.9396377361145003,2024-04,2024-12,0.5063221466297074,AVAXUSDT,ETHUSDT,0.23283027277534918,1.0,1.0,2024,2024-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00
next_open,scaled_exit_6_12,base,12,4.0,5.0,108,107.77868852459017,3.1969579894090354,3.3850748637654333,0.7592592592592593,3.452714628561758,-0.37809390114888675,7.0885182151088335,4.686982666293122,6,5.080197683817255,-2.742490277570736,2024-04,2024-07,0.32126052743465383,AVAXUSDT,ETHUSDT,0.24100907473332153,1.0,1.0,2024,2024-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00
next_close,scaled_exit_6_12,stress,12,8.0,10.0,108,107.77868852459017,2.2911491216314532,2.03435824212034,0.7685185185185185,2.4744410513619695,-0.403895721720396,5.767408848660876,4.128425908945811,7,3.8833677032646854,-2.995016569390877,2024-04,2024-12,0.5170047350334318,AVAXUSDT,ETHUSDT,0.23730160615914833,1.0,1.0,2024,2024-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00
next_open,scaled_exit_6_12,stress,12,8.0,10.0,108,107.77868852459017,3.0137325925053813,3.2016614439048836,0.7592592592592593,3.2548311999058117,-0.4137220030108572,6.68894369089181,4.682298023605851,6,4.895089987427786,-2.9197791914806666,2024-04,2024-07,0.3183268740758833,AVAXUSDT,ETHUSDT,0.24489691852765214,1.0,1.0,2024,2024-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00
next_close,pure_horizon_12,base,12,4.0,5.0,99,99.06780821917808,1.0313365809288748,0.6154615441322031,0.6363636363636364,1.0210232151195862,-0.9733885825656972,1.3045053260180237,7.866330025536035,8,4.441754879235503,-4.936895441107724,2025-10,2025-02,1.624057341520574,ADAUSDT,AVAXUSDT,0.35672839930514594,0.6666666666666666,0.7777777777777778,2025,2025-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00
next_open,pure_horizon_12,base,12,4.0,5.0,99,99.06780821917808,1.054924897352529,1.1526980817217283,0.5858585858585859,1.0443756483790037,-0.9701642803964405,1.344761054073864,7.805379377822934,9,4.8933527423055585,-4.3750462003859045,2025-10,2025-02,1.0915336815533665,XRPUSDT,AVAXUSDT,0.3212965320109206,0.6666666666666666,0.7777777777777778,2025,2025-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00
next_close,pure_horizon_12,stress,12,8.0,10.0,99,99.06780821917808,0.8502757242458611,0.434816354860117,0.5959595959595959,0.8417729670034024,-1.0544222270090997,1.076563147309891,7.858467622780677,8,4.551449443978334,-4.608955512359534,2025-10,2025-02,1.910176294044862,ADAUSDT,AVAXUSDT,0.3980397786353587,0.6666666666666666,0.7777777777777778,2025,2025-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00
