entry_mode,exit_model,friction_case,event_threshold,hold_bars,stop_atr_mult,target_r,taker_fee_bps_per_side,slippage_bps_per_side,symbol,total_trades,trades_per_year,avg_net_return_pct,median_net_return_pct,win_rate,total_net_return_units,ev_per_trade_r,total_ev_r,max_drawdown_return_units,max_drawdown_r,max_losing_streak,profit_factor,average_win_pct,average_loss_pct,best_symbol,worst_symbol,best_month,worst_month,best_symbol_contribution,best_month_contribution
next_close,stop_1atr_tp_1_5r,base,-0.02,12,1.0,1.5,4.0,5.0,SOLUSDT,43,46.736059018629305,0.008960894884070184,-0.5306831819693109,0.4418604651162791,0.0038531848001501787,-0.09387747591291991,-4.036731464255556,-0.09307375636509348,-12.28664906193143,4,1.0159012356357455,1.2956474741549757,-1.0096659803720636,SOLUSDT,SOLUSDT,2026-02,2025-10,1.0000000000000009,13.507842796401206
next_close,stop_1atr_tp_1_5r,base,-0.02,12,1.0,1.5,4.0,5.0,BNBUSDT,18,48.636202512136855,-0.23476319013305846,-0.5531729196292847,0.2777777777777778,-0.042257374223950525,-0.39065922445297374,-7.031866040153528,-0.07437325610318364,-7.6028931474323524,7,0.6733408232365906,1.7420980135745425,-0.9950944223282897,BNBUSDT,BNBUSDT,2026-02,2025-10,,
next_close,stop_1atr_tp_1_5r,base,-0.02,12,1.0,1.5,4.0,5.0,BTCUSDT,4,12.367163389471829,0.7380442964947211,0.46871712782024544,0.5,0.029521771859788846,0.013454423899696921,0.053817695598787685,-0.004128555072464636,-1.458182165985944,2,3.948707608003336,1.9766769147962795,-0.500588321806837,BTCUSDT,BTCUSDT,2026-02,2025-10,1.0,1.3391316240666982
next_open,stop_1atr_tp_1_5r,base,-0.02,12,1.0,1.5,4.0,5.0,ADAUSDT,57,58.58045606424761,0.08373938678682744,-0.5745906162979706,0.43859649122807015,0.04773145046849164,-0.15704414120525195,-8.95151604869936,-0.11274898079505753,-14.005497746998234,6,1.1386863809414074,1.5675988434369261,-1.0755258137210622,ADAUSDT,ADAUSDT,2025-10,2025-08,1.0000000000000002,3.618294605581464
next_open,stop_1atr_tp_1_5r,base,-0.02,12,1.0,1.5,4.0,5.0,AVAXUSDT,41,42.13681927428337,-0.11042064401056759,-0.5681589565501921,0.34146341463414637,-0.04527246404433271,-0.3301654689730478,-13.53678422789496,-0.13460903949317815,-20.220055690633828,10,0.8176844808597014,1.4503346190278614,-0.9197011507712343,AVAXUSDT,AVAXUSDT,2025-10,2026-02,,
next_open,stop_1atr_tp_1_5r,base,-0.02,12,1.0,1.5,4.0,5.0,LINKUSDT,50,54.07772979642196,0.10581783398612857,-0.5803367254207653,0.44,0.052908916993064284,-0.1103779350219569,-5.518896751097845,-0.1106356454174974,-11.767416387626671,4,1.183860971270507,1.5485218736806206,-1.0277353400595437,LINKUSDT,LINKUSDT,2025-10,2026-02,1.0,2.2915131931645387
next_open,stop_1atr_tp_1_5r,base,-0.02,12,1.0,1.5,4.0,5.0,LTCUSDT,45,55.733813711984745,-0.21097835922475877,-0.6807463418521638,0.37777777777777777,-0.09494026165114144,-0.21207310401133014,-9.543289680509856,-0.13428491209747645,-14.82096947842335,6,0.6803156756005021,1.1884766115524001,-1.0606474486251765,LTCUSDT,LTCUSDT,2025-05,2025-10,,
next_open,stop_1atr_tp_1_5r,base,-0.02,12,1.0,1.5,4.0,5.0,XRPUSDT,37,49.33520933946838,0.4809937871257892,0.5458234857726628,0.5405405405405406,0.17796770123654201,0.15463312460270026,5.72142561029991,-0.05016521179253024,-5.801608333452096,4,2.0316795483469807,1.7523529445162631,-1.0147228686277094,XRPUSDT,XRPUSDT,2025-10,2025-07,1.0,0.514784813271685
next_open,stop_1atr_tp_1_5r,base,-0.02,12,1.0,1.5,4.0,5.0,ETHUSDT,39,42.18323153803443,-0.31912500511587477,-0.6418669947836029,0.2564102564102564,-0.12445875199519116,-0.5788809614942919,-22.576357498277385,-0.15723911956099937,-24.24201804799257,11,0.520656275489251,1.3518531056601644,-0.8953243536593367,ETHUSDT,ETHUSDT,2025-10,2025-06,,
next_open,stop_1atr_tp_1_5r,base,-0.02,12,1.0,1.5,4.0,5.0,SOLUSDT,43,46.736059018629305,-0.166733972532776,-0.6560157475471127,0.32558139534883723,-0.07169560818909368,-0.3826558524849807,-16.45420165685417,-0.09675674186077564,-17.783581265469,6,0.7379121595882076,1.441857404663578,-0.9432953270413605,SOLUSDT,SOLUSDT,2025-10,2026-01,,
